"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","100000.00","0.271","0.064","0.239","0.367","0.687","3.551"
"PING_MBULK","106382.98","0.245","0.024","0.239","0.335","0.415","1.783"
"SET","108695.65","0.241","0.048","0.239","0.311","0.415","2.255"
"GET","102040.82","0.259","0.032","0.247","0.343","0.431","3.351"
"INCR","100000.00","0.262","0.040","0.255","0.351","0.439","1.215"
"LPUSH","107526.88","0.244","0.024","0.239","0.343","0.431","1.175"
"RPUSH","102040.82","0.253","0.024","0.247","0.335","0.423","0.879"
"LPOP","103092.78","0.254","0.032","0.239","0.351","0.463","2.319"
"RPOP","106382.98","0.242","0.064","0.239","0.327","0.383","0.519"
"SADD","105820.11","0.244","0.080","0.239","0.319","0.367","0.535"
"HSET","114285.72","0.228","0.024","0.223","0.279","0.383","0.967"
"SPOP","106382.98","0.245","0.072","0.239","0.327","0.407","0.631"
"LPUSH (needed to benchmark LRANGE)","110497.24","0.236","0.072","0.231","0.303","0.399","1.191"
"LRANGE_100 (first 100 elements)","68493.15","0.400","0.032","0.351","0.511","1.495","4.559"
"MSET (10 keys)","103092.78","0.260","0.056","0.247","0.327","0.463","1.703"
