"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","990099.00","0.265","0.032","0.255","0.359","0.431","2.223"
"PING_MBULK","819672.12","0.319","0.128","0.319","0.415","0.527","1.671"
"SET","729927.06","0.616","0.184","0.607","0.927","1.583","3.263"
"GET","709219.88","0.617","0.032","0.511","1.191","2.639","6.311"
"INCR","757575.75","0.603","0.056","0.591","0.863","1.351","2.679"
"LPUSH","1725.98","289.588","176.384","291.583","374.783","399.615","889.855"
"RPUSH","3953.19","126.438","91.584","123.583","159.999","182.399","198.655"
"LPOP","3968.57","125.961","94.784","125.695","151.807","175.743","177.023"
"RPOP","6540.65","76.427","47.456","75.007","99.967","105.087","478.463"
"SADD","1996.05","249.938","0.392","275.711","470.015","484.351","497.151"
"HSET","787401.56","0.571","0.144","0.527","0.871","1.767","2.887"
"SPOP","2314.55","215.989","0.040","228.095","486.655","504.063","523.263"
"LPUSH (needed to benchmark LRANGE)","1704.91","293.177","174.208","293.887","387.071","408.063","778.239"
"LRANGE_100 (first 100 elements)","191570.88","1.493","0.128","1.287","2.615","4.999","14.647"
"MSET (10 keys)","213675.22","2.315","0.696","2.143","3.359","3.959","7.223"
