"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","100401.61","0.257","0.064","0.239","0.343","0.375","0.679"
"PING_MBULK","103519.66","0.250","0.064","0.239","0.327","0.367","2.271"
"SET","96805.42","0.269","0.016","0.263","0.351","0.407","2.095"
"GET","92421.44","0.280","0.032","0.279","0.359","0.415","2.351"
"INCR","95877.28","0.271","0.024","0.263","0.351","0.391","1.167"
"LPUSH","5503.88","9.063","0.032","9.063","18.831","21.695","27.135"
"RPUSH","6482.56","7.707","0.456","7.583","10.535","13.551","17.855"
"LPOP","6246.10","7.999","0.576","7.967","11.455","14.711","17.023"
"RPOP","18580.45","2.666","0.080","2.543","5.151","7.631","9.727"
"SADD","1992.91","25.070","0.160","26.975","47.775","51.455","63.615"
"HSET","109170.30","0.239","0.024","0.231","0.319","0.335","1.583"
"SPOP","2283.21","21.816","0.040","20.687","50.079","56.735","71.295"
"LPUSH (needed to benchmark LRANGE)","5294.65","9.419","0.040","9.239","20.607","26.127","37.439"
"LRANGE_100 (first 100 elements)","59880.24","0.432","0.032","0.415","0.551","0.655","8.439"
"MSET (10 keys)","91743.12","0.296","0.032","0.295","0.391","0.503","4.231"
