"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","91659.03","0.295","0.080","0.287","0.399","0.543","2.359"
"PING_MBULK","98425.20","0.268","0.080","0.263","0.343","0.431","0.799"
"SET","95969.28","0.283","0.064","0.279","0.383","0.567","2.679"
"GET","105485.23","0.249","0.088","0.239","0.327","0.375","0.511"
"INCR","94339.62","0.291","0.072","0.287","0.463","0.591","1.703"
"LPUSH","103412.62","0.255","0.064","0.239","0.351","0.471","1.423"
"RPUSH","91407.68","0.285","0.080","0.279","0.415","0.479","1.039"
"LPOP","92165.90","0.291","0.088","0.287","0.415","0.559","1.783"
"RPOP","88105.73","0.306","0.072","0.287","0.431","0.559","1.551"
"SADD","89126.56","0.292","0.088","0.287","0.391","0.455","0.943"
"HSET","104275.29","0.255","0.072","0.247","0.327","0.479","1.047"
"SPOP","86956.52","0.332","0.072","0.303","0.519","0.767","2.367"
"LPUSH (needed to benchmark LRANGE)","98231.83","0.265","0.072","0.255","0.327","0.359","2.559"
"LRANGE_100 (first 100 elements)","70472.16","0.368","0.152","0.367","0.471","0.559","2.799"
"MSET (10 keys)","85178.88","0.405","0.152","0.351","0.687","0.863","1.543"
