"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","462962.94","1.062","0.040","0.671","3.527","6.759","17.695"
"PING_MBULK","549450.56","0.898","0.040","0.607","2.511","5.919","18.543"
"SET","291545.19","1.704","0.056","0.831","6.375","13.023","22.255"
"GET","401606.44","1.237","0.056","0.783","3.647","9.639","27.695"
"INCR","286532.94","1.736","0.056","0.847","6.663","11.911","20.239"
"LPUSH","232018.56","2.133","0.056","2.015","3.983","5.431","7.607"
"RPUSH","210526.31","2.359","0.048","2.255","3.855","7.079","8.983"
"LPOP","244498.77","2.025","0.048","1.967","3.575","4.991","8.039"
"RPOP","244498.77","2.027","0.048","1.951","3.575","4.551","6.047"
"SADD","233100.23","2.122","0.048","2.039","3.783","5.711","10.015"
"HSET","211864.41","2.334","0.048","2.175","4.431","6.095","8.735"
"SPOP","239234.44","2.072","0.040","1.999","3.743","5.143","8.135"
"LPUSH (needed to benchmark LRANGE)","236966.83","2.086","0.048","2.031","3.711","5.607","7.607"
"LRANGE_100 (first 100 elements)","147710.48","3.130","0.144","1.991","9.455","17.071","31.343"
"MSET (10 keys)","134048.27","3.716","0.144","3.023","9.159","13.183","25.135"
