"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","104931.80","0.257","0.016","0.239","0.351","0.583","3.383"
"PING_MBULK","112233.45","0.240","0.016","0.231","0.319","0.439","3.695"
"SET","102040.81","0.268","0.024","0.255","0.367","0.599","5.471"
"GET","104384.13","0.259","0.016","0.247","0.351","0.543","2.975"
"INCR","104821.80","0.264","0.016","0.247","0.367","0.719","5.311"
"LPUSH","110864.74","0.247","0.016","0.239","0.343","0.535","4.431"
"RPUSH","105042.02","0.258","0.016","0.247","0.351","0.543","2.783"
"LPOP","110497.24","0.248","0.024","0.239","0.335","0.575","2.967"
"RPOP","107526.88","0.265","0.016","0.239","0.399","0.847","8.423"
"SADD","112485.94","0.243","0.016","0.231","0.327","0.503","3.111"
"HSET","112233.45","0.247","0.016","0.231","0.343","0.639","4.015"
"SPOP","114155.25","0.238","0.016","0.231","0.319","0.551","2.335"
"LPUSH (needed to benchmark LRANGE)","111731.84","0.244","0.016","0.231","0.327","0.511","3.391"
"LRANGE_100 (first 100 elements)","73855.24","0.422","0.024","0.343","0.919","1.839","13.919"
"MSET (10 keys)","101317.12","0.359","0.024","0.263","0.927","1.759","5.863"
