"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","884955.75","0.294","0.096","0.287","0.407","0.487","0.679"
"PING_MBULK","819672.12","0.323","0.072","0.311","0.431","0.535","1.655"
"SET","793650.75","0.407","0.032","0.327","0.951","2.167","5.127"
"GET","819672.12","0.358","0.040","0.311","0.559","1.711","4.703"
"INCR","813008.12","0.391","0.040","0.319","0.879","2.287","5.127"
"LPUSH","813008.12","0.597","0.024","0.871","1.151","2.223","4.383"
"RPUSH","704225.31","0.700","0.024","0.919","1.183","1.967","2.815"
"LPOP","869565.19","0.563","0.016","0.495","1.151","1.791","3.023"
"RPOP","869565.19","0.562","0.024","0.295","1.175","1.943","4.927"
"SADD","769230.81","0.637","0.024","0.967","1.295","1.879","4.503"
"HSET","689655.19","0.716","0.024","0.967","1.343","1.919","5.055"
"SPOP","689655.19","0.664","0.024","0.791","1.119","2.847","9.559"
"LPUSH (needed to benchmark LRANGE)","833333.38","0.588","0.024","0.903","1.175","1.815","2.999"
"LRANGE_100 (first 100 elements)","203252.03","1.365","0.112","1.231","2.183","5.063","11.695"
"MSET (10 keys)","261096.61","1.902","0.088","1.543","4.535","6.263","13.727"
