"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","112233.45","0.230","0.048","0.223","0.303","0.383","3.135"
"PING_MBULK","117785.63","0.219","0.064","0.215","0.263","0.319","0.591"
"SET","116414.43","0.223","0.040","0.223","0.263","0.319","1.103"
"GET","110497.24","0.235","0.032","0.223","0.303","0.375","3.119"
"INCR","109289.62","0.240","0.032","0.231","0.311","0.383","4.663"
"LPUSH","98814.23","0.263","0.040","0.263","0.359","0.407","1.031"
"RPUSH","97656.24","0.266","0.032","0.271","0.327","0.375","3.055"
"LPOP","103950.10","0.249","0.096","0.247","0.311","0.367","0.879"
"RPOP","108813.92","0.238","0.032","0.231","0.303","0.367","0.927"
"SADD","110497.24","0.235","0.024","0.231","0.303","0.367","1.847"
"HSET","113250.28","0.229","0.040","0.223","0.287","0.343","1.463"
"SPOP","103092.78","0.252","0.024","0.255","0.319","0.391","1.823"
"LPUSH (needed to benchmark LRANGE)","93808.63","0.276","0.072","0.271","0.335","0.367","4.023"
"LRANGE_100 (first 100 elements)","71633.23","0.358","0.056","0.359","0.439","0.503","2.679"
"MSET (10 keys)","108459.87","0.244","0.024","0.239","0.327","0.391","1.887"
