"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","1086956.50","0.266","0.064","0.239","0.431","0.543","0.775"
"PING_MBULK","1086956.50","0.243","0.080","0.239","0.319","0.383","0.599"
"SET","735294.06","0.615","0.248","0.591","0.863","1.015","1.343"
"GET","869565.19","0.471","0.120","0.455","0.735","0.919","1.439"
"INCR","793650.75","0.509","0.200","0.495","0.759","0.911","1.303"
"LPUSH","1063829.88","0.376","0.160","0.375","0.543","0.599","0.759"
"RPUSH","1075268.75","0.299","0.120","0.263","0.503","0.623","0.831"
"LPOP","961538.44","0.424","0.176","0.415","0.599","0.711","0.911"
"RPOP","925925.88","0.453","0.208","0.447","0.647","0.743","0.927"
"SADD","793650.75","0.538","0.192","0.511","0.879","1.127","1.703"
"HSET","892857.12","0.496","0.192","0.471","0.695","0.823","1.103"
"SPOP","574712.69","0.776","0.072","0.711","1.719","2.351","2.943"
"LPUSH (needed to benchmark LRANGE)","970873.81","0.415","0.168","0.391","0.679","0.815","1.071"
"LRANGE_100 (first 100 elements)","207039.33","1.229","0.544","1.207","1.519","1.887","3.039"
"MSET (10 keys)","332225.91","1.399","0.504","1.415","1.895","2.295","2.951"
