"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","113895.21","0.227","0.064","0.223","0.287","0.335","0.519"
"PING_MBULK","109409.20","0.236","0.064","0.223","0.295","0.359","1.863"
"SET","110497.24","0.241","0.064","0.223","0.335","0.511","1.527"
"GET","104602.52","0.249","0.064","0.247","0.311","0.375","1.727"
"INCR","111607.14","0.234","0.056","0.223","0.303","0.391","1.327"
"LPUSH","110987.79","0.235","0.080","0.223","0.295","0.367","8.687"
"RPUSH","103950.10","0.250","0.080","0.239","0.319","0.391","0.791"
"LPOP","110011.00","0.236","0.064","0.223","0.311","0.383","1.015"
"RPOP","109649.12","0.237","0.072","0.223","0.311","0.391","1.039"
"SADD","113122.17","0.231","0.064","0.223","0.295","0.351","8.599"
"HSET","110619.47","0.236","0.056","0.223","0.295","0.335","8.919"
"SPOP","115606.94","0.224","0.072","0.215","0.287","0.351","0.679"
"LPUSH (needed to benchmark LRANGE)","113250.28","0.230","0.064","0.223","0.295","0.375","1.071"
"LRANGE_100 (first 100 elements)","74239.05","0.348","0.144","0.327","0.455","0.551","3.983"
"MSET (10 keys)","108459.87","0.334","0.064","0.319","0.535","0.647","1.183"
