"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","1030927.81","0.254","0.032","0.247","0.359","0.471","1.967"
"PING_MBULK","1086956.50","0.253","0.032","0.239","0.327","0.679","4.535"
"SET","990099.00","0.351","0.024","0.271","0.839","1.783","5.191"
"GET","1000000.00","0.303","0.024","0.255","0.575","1.103","7.263"
"INCR","1020408.19","0.316","0.032","0.263","0.543","1.487","5.495"
"LPUSH","813008.12","0.569","0.024","0.143","1.231","2.367","5.727"
"RPUSH","709219.88","0.693","0.016","0.879","1.151","1.319","2.407"
"LPOP","847457.62","0.578","0.016","0.631","1.175","2.063","4.407"
"RPOP","840336.12","0.583","0.024","0.895","1.167","1.943","3.183"
"SADD","757575.75","0.652","0.024","0.983","1.143","1.999","4.391"
"HSET","689655.19","0.712","0.024","0.951","1.135","1.999","4.591"
"SPOP","729927.06","0.604","0.024","0.743","1.135","1.719","5.703"
"LPUSH (needed to benchmark LRANGE)","833333.38","0.588","0.024","0.887","1.183","1.927","4.415"
"LRANGE_100 (first 100 elements)","211416.50","1.330","0.120","1.175","2.559","4.903","11.247"
"MSET (10 keys)","273224.03","1.820","0.104","1.423","4.391","6.135","10.295"
