"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","110011.00","0.235","0.056","0.223","0.303","0.351","0.719"
"PING_MBULK","110619.47","0.234","0.072","0.223","0.287","0.335","1.543"
"SET","107526.88","0.241","0.048","0.239","0.311","0.351","1.415"
"GET","116144.02","0.223","0.064","0.223","0.279","0.319","0.935"
"INCR","114155.25","0.227","0.032","0.223","0.295","0.343","1.431"
"LPUSH","113507.38","0.229","0.032","0.223","0.295","0.351","3.759"
"RPUSH","115606.94","0.224","0.016","0.223","0.287","0.343","1.407"
"LPOP","112359.55","0.231","0.064","0.223","0.287","0.319","2.095"
"RPOP","109769.48","0.236","0.064","0.223","0.295","0.351","1.007"
"SADD","118203.30","0.219","0.072","0.215","0.271","0.319","0.975"
"HSET","105042.02","0.247","0.056","0.255","0.311","0.367","1.703"
"SPOP","107181.13","0.245","0.016","0.239","0.303","0.375","6.903"
"LPUSH (needed to benchmark LRANGE)","113378.68","0.230","0.016","0.223","0.295","0.351","1.879"
"LRANGE_100 (first 100 elements)","76863.95","0.336","0.040","0.319","0.407","0.519","4.303"
"MSET (10 keys)","113636.37","0.235","0.024","0.231","0.295","0.399","3.655"
