"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","119904.08","0.216","0.056","0.207","0.279","0.319","0.711"
"PING_MBULK","110497.24","0.235","0.072","0.223","0.295","0.351","0.623"
"SET","105708.25","0.249","0.120","0.255","0.327","0.415","3.087"
"GET","111482.72","0.232","0.064","0.215","0.295","0.343","2.591"
"INCR","109170.30","0.247","0.056","0.223","0.367","0.559","1.575"
"LPUSH","120918.98","0.214","0.064","0.215","0.263","0.319","0.495"
"RPUSH","115473.45","0.225","0.056","0.215","0.295","0.351","0.783"
"LPOP","116550.12","0.223","0.064","0.215","0.295","0.367","0.599"
"RPOP","114155.25","0.227","0.056","0.215","0.295","0.343","1.223"
"SADD","117508.81","0.221","0.072","0.215","0.287","0.327","1.439"
"HSET","107874.87","0.241","0.064","0.223","0.311","0.367","0.575"
"SPOP","122100.12","0.213","0.064","0.215","0.247","0.319","0.775"
"LPUSH (needed to benchmark LRANGE)","120772.95","0.214","0.064","0.215","0.239","0.311","0.679"
"LRANGE_100 (first 100 elements)","80840.74","0.316","0.144","0.311","0.383","0.439","1.343"
"MSET (10 keys)","118203.30","0.259","0.064","0.231","0.407","0.503","0.831"
