"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","440528.62","1.118","0.040","0.711","3.655","6.247","14.855"
"PING_MBULK","518134.72","0.945","0.048","0.663","2.791","5.527","18.111"
"SET","284900.28","1.743","0.064","0.855","6.871","12.159","19.951"
"GET","401606.44","1.230","0.056","0.823","3.575","7.351","27.471"
"INCR","280112.06","1.779","0.056","0.871","6.647","13.783","22.847"
"LPUSH","233100.23","2.121","0.048","2.055","3.807","5.223","7.591"
"RPUSH","216919.73","2.286","0.056","2.175","3.743","5.695","8.919"
"LPOP","237529.69","2.081","0.048","2.023","3.807","4.775","8.135"
"RPOP","235849.06","2.098","0.048","2.023","3.847","4.967","7.567"
"SADD","229357.80","2.155","0.048","2.055","3.703","5.447","8.127"
"HSET","217864.92","2.273","0.056","2.151","3.863","5.359","10.967"
"SPOP","230414.75","2.151","0.048","2.071","3.799","5.903","9.167"
"LPUSH (needed to benchmark LRANGE)","241545.89","2.049","0.048","1.959","3.575","5.503","7.343"
"LRANGE_100 (first 100 elements)","144927.53","3.234","0.136","2.055","9.791","18.831","30.479"
"MSET (10 keys)","135501.36","3.679","0.128","3.055","8.655","12.215","23.471"
