"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","119047.62","0.219","0.032","0.215","0.279","0.351","1.471"
"PING_MBULK","120192.30","0.217","0.016","0.215","0.255","0.319","1.247"
"SET","117647.05","0.222","0.024","0.223","0.271","0.343","3.063"
"GET","115874.86","0.225","0.024","0.223","0.287","0.343","1.391"
"INCR","115740.73","0.231","0.016","0.223","0.287","0.455","8.479"
"LPUSH","115473.45","0.227","0.024","0.223","0.287","0.359","2.415"
"RPUSH","112107.62","0.233","0.024","0.231","0.303","0.367","2.599"
"LPOP","111731.84","0.233","0.024","0.231","0.303","0.351","1.575"
"RPOP","111358.58","0.234","0.024","0.231","0.311","0.375","1.535"
"SADD","112866.82","0.232","0.024","0.231","0.303","0.375","1.815"
"HSET","112233.45","0.237","0.024","0.231","0.303","0.431","4.031"
"SPOP","112612.61","0.234","0.016","0.223","0.303","0.391","3.591"
"LPUSH (needed to benchmark LRANGE)","115340.26","0.227","0.016","0.223","0.295","0.359","1.991"
"LRANGE_100 (first 100 elements)","76923.08","0.355","0.032","0.327","0.463","1.023","13.527"
"MSET (10 keys)","109409.20","0.250","0.024","0.239","0.327","0.535","4.151"
