"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","884955.75","0.293","0.120","0.295","0.367","0.407","0.543"
"PING_MBULK","943396.25","0.280","0.032","0.255","0.391","0.607","1.783"
"SET","952381.00","0.361","0.024","0.271","0.855","2.159","5.735"
"GET","1041666.69","0.298","0.024","0.255","0.583","1.151","9.175"
"INCR","1010101.00","0.360","0.032","0.263","0.943","2.447","5.215"
"LPUSH","781249.94","0.625","0.024","0.759","1.303","2.663","6.095"
"RPUSH","714285.69","0.690","0.024","0.983","1.135","1.943","5.239"
"LPOP","833333.38","0.582","0.016","0.727","1.199","1.991","3.039"
"RPOP","826446.31","0.589","0.016","0.855","1.191","2.023","4.391"
"SADD","729927.06","0.671","0.024","0.991","1.295","2.063","3.959"
"HSET","680272.12","0.722","0.024","0.999","1.223","2.015","6.255"
"SPOP","724637.69","0.623","0.024","0.767","1.119","1.983","4.535"
"LPUSH (needed to benchmark LRANGE)","840336.12","0.583","0.024","0.759","1.199","2.007","4.631"
"LRANGE_100 (first 100 elements)","192678.23","1.415","0.104","1.295","2.151","5.039","9.407"
"MSET (10 keys)","275482.09","1.800","0.096","1.431","4.375","6.151","11.319"
