"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","114025.09","0.226","0.032","0.223","0.287","0.343","1.487"
"PING_MBULK","104821.80","0.246","0.064","0.247","0.311","0.367","0.807"
"SET","115606.94","0.224","0.056","0.223","0.279","0.327","1.015"
"GET","101214.58","0.256","0.016","0.263","0.327","0.399","1.255"
"INCR","109170.30","0.238","0.056","0.231","0.311","0.351","1.007"
"LPUSH","110987.79","0.234","0.040","0.223","0.303","0.375","1.815"
"RPUSH","99900.09","0.260","0.048","0.263","0.335","0.407","1.567"
"LPOP","97847.36","0.265","0.056","0.271","0.319","0.367","0.887"
"RPOP","111482.72","0.232","0.032","0.231","0.295","0.343","1.159"
"SADD","103519.66","0.251","0.056","0.247","0.319","0.375","1.663"
"HSET","101936.80","0.255","0.016","0.255","0.335","0.407","1.119"
"SPOP","107181.13","0.244","0.008","0.231","0.303","0.375","1.943"
"LPUSH (needed to benchmark LRANGE)","98716.68","0.263","0.064","0.271","0.311","0.351","2.751"
"LRANGE_100 (first 100 elements)","76804.91","0.339","0.024","0.327","0.407","0.615","6.783"
"MSET (10 keys)","111358.58","0.239","0.024","0.231","0.311","0.399","1.855"
