"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","769230.81","0.437","0.032","0.319","1.175","1.935","12.815"
"PING_MBULK","813008.12","0.521","0.024","0.303","1.143","4.495","22.399"
"SET","448430.47","1.095","0.032","0.647","3.647","6.063","15.143"
"GET","675675.69","0.656","0.032","0.423","1.679","5.063","11.431"
"INCR","490196.09","0.993","0.032","0.599","3.431","5.415","9.727"
"LPUSH","420168.06","1.171","0.024","1.111","2.711","5.303","10.415"
"RPUSH","436681.22","1.137","0.024","1.119","2.143","3.119","6.663"
"LPOP","518134.72","0.955","0.024","1.079","1.407","2.527","4.367"
"RPOP","473933.66","1.043","0.024","1.095","2.127","3.959","7.351"
"SADD","465116.28","1.064","0.024","1.111","1.903","2.863","4.615"
"HSET","438596.50","1.129","0.024","1.119","2.071","3.087","8.519"
"SPOP","492610.84","1.003","0.016","1.095","1.847","3.991","6.527"
"LPUSH (needed to benchmark LRANGE)","497512.44","0.987","0.024","1.079","1.983","2.743","4.735"
"LRANGE_100 (first 100 elements)","152439.02","2.811","0.112","1.463","9.463","16.751","26.479"
"MSET (10 keys)","173611.12","2.865","0.104","2.367","6.831","9.655","21.007"
