"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","110741.97","0.240","0.016","0.231","0.319","0.487","3.703"
"PING_MBULK","111482.72","0.237","0.016","0.231","0.311","0.431","5.079"
"SET","110864.74","0.240","0.016","0.231","0.311","0.527","3.183"
"GET","109409.20","0.244","0.016","0.231","0.327","0.551","4.167"
"INCR","109769.48","0.241","0.016","0.231","0.319","0.431","3.823"
"LPUSH","107296.14","0.248","0.016","0.231","0.335","0.471","4.647"
"RPUSH","111234.70","0.237","0.016","0.231","0.303","0.439","2.255"
"LPOP","97087.38","0.289","0.016","0.247","0.439","0.975","7.575"
"RPOP","110619.47","0.242","0.024","0.231","0.311","0.535","4.599"
"SADD","114155.25","0.233","0.016","0.223","0.287","0.447","5.327"
"HSET","104275.29","0.254","0.016","0.239","0.343","0.471","2.887"
"SPOP","100603.62","0.266","0.016","0.247","0.375","0.671","2.959"
"LPUSH (needed to benchmark LRANGE)","106837.61","0.246","0.024","0.231","0.327","0.407","3.559"
"LRANGE_100 (first 100 elements)","71994.23","0.392","0.032","0.351","0.583","1.343","10.511"
"MSET (10 keys)","101832.99","0.304","0.016","0.239","0.607","1.623","5.639"
