"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","93196.65","0.277","0.112","0.279","0.335","0.383","0.607"
"PING_MBULK","100603.62","0.257","0.080","0.239","0.343","0.431","2.279"
"SET","102669.41","0.254","0.024","0.247","0.335","0.375","2.807"
"GET","104602.52","0.248","0.040","0.239","0.327","0.367","1.207"
"INCR","103734.44","0.251","0.032","0.239","0.327","0.375","2.527"
"LPUSH","5757.05","8.668","0.104","8.335","18.239","21.055","25.983"
"RPUSH","6796.71","7.351","0.440","7.295","9.623","12.103","15.895"
"LPOP","6895.60","7.246","0.560","7.127","9.399","12.119","15.919"
"RPOP","19489.38","2.531","0.072","2.367","5.191","6.935","8.447"
"SADD","2079.56","24.026","0.136","26.063","45.599","50.079","68.415"
"HSET","103950.10","0.251","0.016","0.247","0.319","0.343","1.767"
"SPOP","2410.74","20.661","0.032","19.759","47.007","49.663","67.391"
"LPUSH (needed to benchmark LRANGE)","5649.08","8.833","0.128","8.607","19.103","22.479","28.911"
"LRANGE_100 (first 100 elements)","70721.36","0.364","0.040","0.343","0.463","0.495","3.951"
"MSET (10 keys)","100300.91","0.271","0.024","0.255","0.343","0.407","8.783"
