"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","99700.90","0.259","0.040","0.255","0.327","0.367","1.711"
"PING_MBULK","97276.27","0.265","0.024","0.263","0.351","0.375","1.207"
"SET","99601.60","0.261","0.032","0.247","0.343","0.383","1.111"
"GET","85836.91","0.302","0.064","0.311","0.375","0.423","2.391"
"INCR","103199.18","0.252","0.032","0.247","0.327","0.367","1.375"
"LPUSH","5485.46","9.098","0.120","8.479","19.231","21.679","27.407"
"RPUSH","6430.87","7.769","0.576","7.583","10.911","13.855","16.575"
"LPOP","6496.04","7.692","0.440","7.623","10.927","13.487","16.735"
"RPOP","18747.66","2.644","0.072","2.743","4.807","6.007","9.439"
"SADD","2009.69","24.861","0.168","26.975","47.455","50.815","64.351"
"HSET","100300.91","0.259","0.056","0.255","0.327","0.367","2.359"
"SPOP","2394.23","20.793","0.040","19.471","48.159","51.743","67.135"
"LPUSH (needed to benchmark LRANGE)","5512.38","9.050","0.128","8.911","19.647","23.151","28.895"
"LRANGE_100 (first 100 elements)","75930.14","0.341","0.024","0.327","0.463","0.527","1.879"
"MSET (10 keys)","95057.03","0.285","0.032","0.287","0.351","0.455","3.735"
