"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","102564.10","0.257","0.072","0.239","0.327","0.479","0.855"
"PING_MBULK","107411.38","0.241","0.072","0.239","0.311","0.343","0.551"
"SET","108108.11","0.241","0.064","0.231","0.319","0.399","1.591"
"GET","112612.61","0.233","0.080","0.231","0.263","0.311","2.471"
"INCR","113378.68","0.233","0.080","0.231","0.287","0.343","1.535"
"LPUSH","112107.62","0.232","0.072","0.231","0.279","0.351","0.919"
"RPUSH","111111.12","0.233","0.072","0.231","0.287","0.343","0.511"
"LPOP","112866.82","0.229","0.064","0.231","0.279","0.327","0.503"
"RPOP","108225.10","0.245","0.096","0.231","0.327","0.447","0.975"
"SADD","110987.79","0.233","0.072","0.231","0.287","0.343","0.647"
"HSET","110987.79","0.241","0.072","0.231","0.319","0.399","0.687"
"SPOP","110741.97","0.240","0.064","0.231","0.303","0.479","0.927"
"LPUSH (needed to benchmark LRANGE)","101214.58","0.261","0.072","0.239","0.343","0.511","1.063"
"LRANGE_100 (first 100 elements)","73855.24","0.351","0.232","0.327","0.471","0.527","1.895"
"MSET (10 keys)","103734.44","0.295","0.064","0.239","0.591","0.767","1.383"
