"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","884955.75","0.298","0.048","0.295","0.375","0.423","1.383"
"PING_MBULK","990099.00","0.271","0.032","0.263","0.367","0.567","1.567"
"SET","769230.81","0.540","0.040","0.407","1.263","1.975","9.335"
"GET","787401.56","0.525","0.032","0.391","1.215","2.047","8.767"
"INCR","751879.69","0.609","0.040","0.479","1.511","2.415","7.183"
"LPUSH","2163.47","231.003","124.928","224.511","303.103","350.719","941.055"
"RPUSH","787401.56","0.593","0.064","0.551","0.975","1.727","4.063"
"LPOP","800000.00","0.510","0.040","0.447","0.919","1.623","4.119"
"RPOP","757575.75","0.592","0.040","0.495","1.199","2.199","12.463"
"SADD","757575.75","0.584","0.112","0.551","0.943","1.543","2.823"
"HSET","714285.69","0.543","0.064","0.447","1.151","1.743","4.887"
"SPOP","684931.50","0.594","0.040","0.495","1.135","3.759","7.327"
"LPUSH (needed to benchmark LRANGE)","2149.75","232.504","129.536","231.423","300.031","329.727","866.303"
"LRANGE_100 (first 100 elements)","186567.16","1.526","0.136","1.287","2.615","5.063","13.679"
"MSET (10 keys)","123609.39","4.028","0.080","3.423","10.031","12.231","16.327"
