"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","89605.73","0.288","0.056","0.287","0.359","0.407","0.695"
"PING_MBULK","97465.88","0.265","0.032","0.271","0.327","0.359","0.687"
"SET","91743.12","0.284","0.024","0.287","0.351","0.383","3.703"
"GET","95785.44","0.271","0.048","0.255","0.351","0.415","1.599"
"INCR","94161.95","0.276","0.032","0.279","0.343","0.383","1.583"
"LPUSH","7040.77","7.071","0.072","6.327","15.111","17.327","21.823"
"RPUSH","91911.76","0.282","0.096","0.295","0.343","0.375","1.311"
"LPOP","88809.95","0.292","0.088","0.303","0.359","0.415","1.111"
"RPOP","90661.83","0.286","0.072","0.295","0.351","0.431","1.111"
"SADD","94073.38","0.277","0.016","0.279","0.351","0.391","4.855"
"HSET","90090.09","0.288","0.064","0.295","0.351","0.391","1.303"
"SPOP","87032.20","0.298","0.064","0.295","0.399","0.447","1.183"
"LPUSH (needed to benchmark LRANGE)","7007.22","7.099","0.072","7.031","15.695","18.271","25.615"
"LRANGE_100 (first 100 elements)","66401.06","0.389","0.024","0.343","0.487","0.559","4.847"
"MSET (10 keys)","97276.27","0.290","0.016","0.263","0.383","1.039","4.591"
