"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","105374.08","0.245","0.032","0.231","0.335","0.367","0.815"
"PING_MBULK","102459.02","0.252","0.080","0.247","0.327","0.359","0.599"
"SET","96993.21","0.268","0.032","0.271","0.343","0.375","1.527"
"GET","101626.02","0.256","0.024","0.247","0.335","0.383","3.135"
"INCR","103199.18","0.251","0.024","0.239","0.327","0.351","1.231"
"LPUSH","6907.99","7.209","0.032","6.407","15.231","17.631","22.095"
"RPUSH","103734.44","0.251","0.024","0.239","0.343","0.391","1.391"
"LPOP","102354.15","0.253","0.040","0.239","0.327","0.367","1.887"
"RPOP","110132.16","0.236","0.040","0.231","0.311","0.351","1.367"
"SADD","109289.62","0.238","0.072","0.231","0.311","0.343","1.351"
"HSET","92081.03","0.283","0.016","0.287","0.343","0.439","1.183"
"SPOP","101832.99","0.257","0.016","0.239","0.335","0.359","1.455"
"LPUSH (needed to benchmark LRANGE)","7015.08","7.098","0.024","6.815","15.967","18.495","23.743"
"LRANGE_100 (first 100 elements)","70571.62","0.367","0.024","0.335","0.471","0.543","5.415"
"MSET (10 keys)","89605.73","0.330","0.016","0.303","0.831","1.215","4.303"
