"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","108932.46","0.237","0.064","0.231","0.319","0.359","2.423"
"PING_MBULK","100908.17","0.255","0.072","0.247","0.335","0.359","0.599"
"SET","110132.16","0.237","0.024","0.231","0.319","0.367","2.503"
"GET","101419.88","0.256","0.048","0.239","0.335","0.407","2.039"
"INCR","98231.83","0.266","0.032","0.255","0.335","0.407","1.775"
"LPUSH","7036.80","7.076","0.064","6.223","15.007","17.199","27.055"
"RPUSH","98328.42","0.265","0.040","0.255","0.343","0.375","2.759"
"LPOP","102986.61","0.252","0.048","0.247","0.327","0.351","1.047"
"RPOP","102040.81","0.254","0.032","0.239","0.327","0.359","1.831"
"SADD","95510.98","0.272","0.040","0.271","0.351","0.407","1.559"
"HSET","97847.36","0.266","0.056","0.255","0.343","0.383","1.335"
"SPOP","99304.87","0.262","0.040","0.247","0.335","0.391","1.879"
"LPUSH (needed to benchmark LRANGE)","6913.72","7.205","0.088","7.135","15.783","18.351","24.847"
"LRANGE_100 (first 100 elements)","74626.87","0.347","0.032","0.327","0.455","0.567","4.599"
"MSET (10 keys)","94339.62","0.297","0.016","0.279","0.407","1.095","4.167"
