"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","408163.25","1.213","0.048","0.751","3.839","7.423","18.783"
"PING_MBULK","452488.69","1.088","0.048","0.719","3.295","5.767","20.495"
"SET","218818.39","2.252","0.064","1.191","8.031","13.943","40.319"
"GET","355871.91","1.376","0.056","0.895","3.895","8.375","26.751"
"INCR","243902.44","2.030","0.056","1.039","7.423","13.263","21.583"
"LPUSH","215982.72","2.291","0.048","2.183","4.303","6.399","10.615"
"RPUSH","200000.00","2.473","0.048","2.303","4.351","8.207","12.191"
"LPOP","211416.50","2.344","0.048","2.199","4.535","6.703","15.319"
"RPOP","200400.80","2.467","0.048","2.247","4.911","6.951","12.663"
"SADD","205761.31","2.409","0.056","2.231","4.351","7.151","10.719"
"HSET","197238.64","2.513","0.056","2.279","4.791","7.143","11.103"
"SPOP","218818.39","2.258","0.048","2.063","4.239","7.423","14.039"
"LPUSH (needed to benchmark LRANGE)","226757.36","2.182","0.056","2.031","4.063","5.527","8.455"
"LRANGE_100 (first 100 elements)","129533.68","3.496","0.136","2.199","10.831","20.783","27.887"
"MSET (10 keys)","125000.00","3.982","0.144","3.359","9.463","13.095","24.479"
