"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","1000000.00","0.288","0.024","0.255","0.503","1.199","2.263"
"PING_MBULK","970873.81","0.273","0.040","0.263","0.367","0.487","1.487"
"SET","909090.94","0.378","0.024","0.279","0.943","2.183","7.375"
"GET","917431.19","0.379","0.024","0.263","0.823","3.335","14.663"
"INCR","787401.56","0.542","0.024","0.319","1.839","3.335","5.583"
"LPUSH","636942.62","0.764","0.024","1.039","1.375","2.143","5.135"
"RPUSH","613496.94","0.792","0.024","1.039","1.575","3.071","4.863"
"LPOP","680272.12","0.684","0.024","0.735","1.479","2.831","4.871"
"RPOP","724637.69","0.648","0.024","0.407","1.607","2.607","6.231"
"SADD","666666.62","0.737","0.024","1.015","1.359","2.775","4.615"
"HSET","625000.00","0.788","0.024","1.039","1.239","2.023","4.943"
"SPOP","653594.81","0.677","0.024","0.455","1.271","2.687","5.607"
"LPUSH (needed to benchmark LRANGE)","653594.81","0.751","0.024","1.023","1.487","2.743","5.175"
"LRANGE_100 (first 100 elements)","201207.23","1.459","0.088","1.239","3.103","5.823","12.095"
"MSET (10 keys)","235849.06","2.108","0.096","1.687","5.031","7.231","18.927"
