"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","103519.66","0.250","0.032","0.239","0.335","0.431","2.847"
"PING_MBULK","107296.14","0.240","0.072","0.231","0.327","0.367","0.639"
"SET","102774.92","0.258","0.024","0.239","0.343","0.455","3.831"
"GET","99403.58","0.265","0.032","0.247","0.359","0.487","3.983"
"INCR","105485.23","0.250","0.024","0.239","0.335","0.455","3.847"
"LPUSH","107296.14","0.245","0.016","0.231","0.327","0.399","3.423"
"RPUSH","104602.52","0.249","0.032","0.239","0.327","0.383","4.575"
"LPOP","107066.38","0.242","0.048","0.231","0.319","0.375","1.967"
"RPOP","100603.62","0.259","0.032","0.247","0.327","0.391","3.343"
"SADD","108108.11","0.244","0.024","0.239","0.303","0.399","4.047"
"HSET","104493.20","0.250","0.032","0.239","0.327","0.407","3.607"
"SPOP","105820.11","0.249","0.016","0.239","0.335","0.439","5.151"
"LPUSH (needed to benchmark LRANGE)","100704.94","0.258","0.032","0.247","0.327","0.391","1.239"
"LRANGE_100 (first 100 elements)","71633.23","0.374","0.016","0.335","0.463","1.191","12.471"
"MSET (10 keys)","103199.18","0.270","0.016","0.247","0.359","0.791","9.975"
