"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","961538.44","0.341","0.072","0.263","0.623","0.743","0.959"
"PING_MBULK","1010101.00","0.287","0.080","0.247","0.535","0.655","0.927"
"SET","694444.50","0.651","0.192","0.583","1.127","1.367","1.839"
"GET","793650.75","0.544","0.208","0.519","0.823","1.063","1.495"
"INCR","729927.06","0.619","0.192","0.559","1.015","1.231","1.719"
"LPUSH","793650.75","0.428","0.168","0.375","0.815","1.047","1.591"
"RPUSH","819672.12","0.355","0.200","0.311","0.735","0.999","1.543"
"LPOP","819672.12","0.520","0.184","0.511","0.727","0.887","1.655"
"RPOP","769230.81","0.488","0.184","0.447","0.791","1.007","2.775"
"SADD","757575.75","0.502","0.120","0.455","0.887","1.175","1.671"
"HSET","781249.94","0.565","0.224","0.551","0.751","0.887","1.039"
"SPOP","518134.72","0.825","0.080","0.815","1.751","1.959","2.279"
"LPUSH (needed to benchmark LRANGE)","833333.38","0.392","0.160","0.351","0.759","1.007","1.527"
"LRANGE_100 (first 100 elements)","215517.25","1.189","0.592","1.143","1.343","2.671","3.855"
"MSET (10 keys)","254452.92","1.837","0.544","1.847","2.583","3.439","4.079"
