"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","111234.70","0.236","0.080","0.231","0.287","0.375","3.551"
"PING_MBULK","94876.66","0.285","0.120","0.279","0.431","0.583","1.167"
"SET","93109.87","0.301","0.056","0.287","0.551","0.663","1.775"
"GET","111856.82","0.236","0.080","0.231","0.303","0.399","1.791"
"INCR","109409.20","0.245","0.072","0.231","0.359","0.447","1.471"
"LPUSH","91827.37","0.292","0.088","0.287","0.391","0.567","3.647"
"RPUSH","88967.98","0.306","0.088","0.287","0.447","0.599","3.559"
"LPOP","107526.88","0.243","0.072","0.231","0.319","0.431","1.039"
"RPOP","93370.68","0.288","0.056","0.279","0.407","0.575","4.143"
"SADD","104493.20","0.253","0.064","0.239","0.351","0.455","0.879"
"HSET","89766.61","0.306","0.144","0.287","0.503","0.655","1.847"
"SPOP","104493.20","0.264","0.064","0.239","0.415","0.607","1.519"
"LPUSH (needed to benchmark LRANGE)","104493.20","0.257","0.064","0.239","0.367","0.551","1.079"
"LRANGE_100 (first 100 elements)","68027.21","0.399","0.144","0.375","0.623","0.839","2.887"
"MSET (10 keys)","84033.61","0.472","0.160","0.447","0.759","0.975","3.751"
