"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","37285.61","13.391","6.104","12.983","18.079","21.151","26.591"
"PING_MBULK","34281.80","14.553","5.520","13.871","20.239","23.119","28.271"
"SET","27940.77","17.811","0.504","6.063","73.087","220.799","323.327"
"GET","36114.12","13.820","7.264","13.399","18.495","21.039","24.543"
"INCR","27487.63","18.131","0.496","6.631","81.407","198.527","263.423"
"LPUSH","17803.10","28.013","0.504","27.279","34.431","37.855","43.359"
"RPUSH","17860.33","27.921","0.496","27.503","33.919","37.311","47.711"
"LPOP","17661.60","28.188","0.488","27.519","33.983","41.631","58.399"
"RPOP","17831.67","27.952","0.512","27.535","33.727","35.839","41.119"
"SADD","17733.64","28.125","0.552","27.631","33.759","36.447","41.375"
"HSET","18254.84","27.331","0.544","26.639","33.087","34.943","40.479"
"SPOP","18070.11","27.604","0.528","27.279","33.119","37.247","41.503"
"LPUSH (needed to benchmark LRANGE)","18185.12","27.403","0.720","26.799","33.311","35.871","38.143"
"LRANGE_100 (first 100 elements)","30740.85","16.198","5.968","15.263","23.551","27.359","35.391"
"MSET (10 keys)","33189.51","15.041","8.184","14.487","20.639","23.935","27.967"
