"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","33738.19","1.468","0.048","1.327","2.943","4.543","11.879"
"PING_MBULK","34904.02","1.422","0.048","1.335","2.655","3.719","7.967"
"SET","33400.13","1.487","0.040","1.351","2.959","4.327","10.831"
"GET","31289.11","1.588","0.048","1.431","3.151","4.679","12.551"
"INCR","34746.35","1.430","0.056","1.311","2.711","3.951","8.671"
"LPUSH","34153.00","1.455","0.040","1.343","2.759","4.319","9.399"
"RPUSH","35423.31","1.403","0.056","1.319","2.543","3.991","10.327"
"LPOP","35014.01","1.418","0.032","1.319","2.663","3.895","9.423"
"RPOP","36324.01","1.367","0.048","1.271","2.567","3.895","8.527"
"SADD","34867.50","1.422","0.056","1.295","2.695","4.359","10.719"
"HSET","34094.78","1.456","0.048","1.327","2.839","4.423","8.031"
"SPOP","35880.88","1.383","0.048","1.271","2.647","4.111","9.343"
"LPUSH (needed to benchmark LRANGE)","33978.93","1.459","0.048","1.327","2.815","4.471","8.983"
"LRANGE_100 (first 100 elements)","29385.84","1.686","0.064","1.543","3.295","5.175","11.199"
"MSET (10 keys)","32637.08","1.525","0.064","1.423","2.799","4.287","9.215"
