"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","45955.88","10.858","3.360","10.511","15.103","18.111","22.463"
"PING_MBULK","43591.98","11.450","5.672","10.919","16.159","21.871","29.791"
"SET","36231.88","13.762","0.408","4.871","59.871","156.415","239.231"
"GET","46040.52","10.842","5.536","10.463","14.975","17.679","25.135"
"INCR","36205.65","13.757","0.312","4.839","49.919","166.527","257.535"
"LPUSH","21677.87","23.006","0.448","22.431","28.559","33.375","41.247"
"RPUSH","21551.72","23.152","0.344","22.223","29.903","33.727","38.815"
"LPOP","21978.02","22.689","0.528","22.159","28.143","31.951","35.455"
"RPOP","21758.05","22.931","0.528","22.287","28.671","33.119","50.175"
"SADD","21758.05","22.931","0.480","22.303","28.735","32.863","39.583"
"HSET","21696.68","22.988","0.432","22.431","28.191","31.775","36.735"
"SPOP","21982.85","22.695","0.696","21.791","28.927","34.911","53.503"
"LPUSH (needed to benchmark LRANGE)","21621.62","23.073","0.448","22.639","27.839","30.927","33.727"
"LRANGE_100 (first 100 elements)","36900.37","13.486","6.152","12.455","20.751","24.255","31.823"
"MSET (10 keys)","41322.31","12.073","5.224","11.399","17.807","20.847","25.695"
