"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","39123.63","1.262","0.040","1.191","2.367","3.287","12.055"
"PING_MBULK","37188.55","1.329","0.032","1.223","2.591","3.791","9.879"
"SET","40257.65","1.225","0.040","1.127","2.383","3.711","11.487"
"GET","37921.88","1.305","0.040","1.207","2.479","3.799","7.983"
"INCR","36630.04","1.342","0.048","1.215","2.647","4.167","8.783"
"LPUSH","41237.11","1.197","0.040","1.119","2.191","3.599","9.343"
"RPUSH","37064.49","1.332","0.048","1.191","2.663","4.279","7.863"
"LPOP","39619.65","1.247","0.056","1.127","2.455","3.911","9.599"
"RPOP","43821.21","1.129","0.040","1.047","2.135","3.383","10.719"
"SADD","44033.47","1.121","0.048","1.047","2.095","3.367","9.383"
"HSET","43610.99","1.133","0.040","1.063","2.127","3.255","8.159"
"SPOP","43782.84","1.130","0.040","1.047","2.087","3.207","8.527"
"LPUSH (needed to benchmark LRANGE)","43215.21","1.147","0.032","1.063","2.159","3.495","9.119"
"LRANGE_100 (first 100 elements)","34686.09","1.423","0.048","1.271","2.831","5.079","10.071"
"MSET (10 keys)","40080.16","1.241","0.048","1.143","2.343","3.991","10.879"
