"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","943396.25","0.289","0.032","0.271","0.399","0.831","4.855"
"PING_MBULK","709219.88","0.411","0.024","0.359","0.695","1.847","5.119"
"SET","869565.19","0.447","0.032","0.319","1.255","2.279","5.087"
"GET","806451.62","0.410","0.024","0.319","0.959","2.039","5.167"
"INCR","775193.81","0.547","0.024","0.327","1.855","3.895","6.439"
"LPUSH","657894.75","0.729","0.024","0.975","1.575","2.503","7.983"
"RPUSH","584795.31","0.839","0.024","1.055","1.415","2.623","6.535"
"LPOP","704225.31","0.662","0.024","0.559","1.599","2.495","4.927"
"RPOP","729927.06","0.645","0.024","0.775","1.431","2.151","5.855"
"SADD","699300.69","0.688","0.024","0.983","1.327","2.135","6.919"
"HSET","636942.62","0.754","0.024","1.031","1.239","1.951","4.111"
"SPOP","649350.62","0.645","0.024","0.383","1.287","2.991","5.215"
"LPUSH (needed to benchmark LRANGE)","724637.69","0.566","0.032","0.335","1.335","2.007","5.903"
"LRANGE_100 (first 100 elements)","175438.59","1.733","0.096","1.351","4.071","8.543","19.151"
"MSET (10 keys)","183823.52","2.686","0.120","2.207","6.367","9.175","15.799"
