"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","97465.88","0.265","0.024","0.255","0.375","0.431","1.295"
"PING_MBULK","88495.58","0.296","0.032","0.287","0.423","0.479","4.055"
"SET","98328.42","0.271","0.024","0.247","0.383","0.567","4.151"
"GET","103199.18","0.252","0.040","0.239","0.335","0.415","4.023"
"INCR","99800.40","0.263","0.016","0.247","0.367","0.447","3.631"
"LPUSH","94250.71","0.279","0.024","0.255","0.399","0.487","4.111"
"RPUSH","100908.17","0.260","0.024","0.247","0.335","0.439","3.007"
"LPOP","94786.73","0.284","0.024","0.255","0.367","0.727","4.231"
"RPOP","99009.90","0.265","0.040","0.247","0.375","0.487","3.175"
"SADD","96711.80","0.273","0.024","0.263","0.375","0.519","4.463"
"HSET","106609.80","0.247","0.016","0.239","0.311","0.399","3.967"
"SPOP","108342.37","0.242","0.016","0.231","0.311","0.399","3.199"
"LPUSH (needed to benchmark LRANGE)","100100.10","0.260","0.032","0.239","0.391","0.479","2.679"
"LRANGE_100 (first 100 elements)","69156.30","0.388","0.016","0.343","0.527","1.231","7.159"
"MSET (10 keys)","96432.02","0.297","0.024","0.255","0.399","1.415","7.759"
