"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","48638.13","1.018","0.104","0.927","1.735","2.559","7.871"
"PING_MBULK","48449.61","1.022","0.056","0.927","1.735","2.415","6.031"
"SET","48638.13","1.020","0.088","0.935","1.719","2.711","7.735"
"GET","46554.93","1.064","0.096","0.967","1.815","2.759","7.103"
"INCR","46468.40","1.067","0.056","0.959","1.879","2.991","8.767"
"LPUSH","49578.58","0.999","0.088","0.903","1.727","2.671","7.823"
"RPUSH","46838.41","1.057","0.072","0.943","1.823","3.455","9.399"
"LPOP","47755.49","1.036","0.072","0.935","1.783","2.759","7.311"
"RPOP","48685.49","1.016","0.072","0.927","1.735","2.783","7.375"
"SADD","47147.57","1.051","0.040","0.943","1.839","3.047","8.231"
"HSET","46210.72","1.073","0.088","0.967","1.871","2.919","8.983"
"SPOP","48030.74","1.032","0.072","0.935","1.767","2.815","6.951"
"LPUSH (needed to benchmark LRANGE)","46490.00","1.065","0.048","0.951","1.823","3.279","8.279"
"LRANGE_100 (first 100 elements)","36954.91","1.337","0.064","1.199","2.583","4.655","9.311"
"MSET (10 keys)","42498.94","1.170","0.048","1.071","2.047","3.407","11.583"
