"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","119474.31","0.219","0.016","0.207","0.287","0.359","3.959"
"PING_MBULK","113765.64","0.230","0.024","0.207","0.303","0.399","3.743"
"SET","116550.12","0.224","0.024","0.215","0.295","0.359","3.375"
"GET","111111.12","0.236","0.016","0.215","0.319","0.375","4.135"
"INCR","111856.82","0.234","0.024","0.223","0.327","0.415","4.087"
"LPUSH","116550.12","0.225","0.024","0.215","0.311","0.359","3.631"
"RPUSH","117508.81","0.223","0.024","0.215","0.287","0.351","2.975"
"LPOP","118203.30","0.220","0.024","0.215","0.295","0.351","3.183"
"RPOP","118063.76","0.220","0.016","0.215","0.295","0.359","2.695"
"SADD","116414.43","0.223","0.032","0.215","0.295","0.343","1.655"
"HSET","111234.70","0.235","0.024","0.223","0.311","0.367","2.111"
"SPOP","116686.12","0.222","0.016","0.215","0.295","0.351","1.447"
"LPUSH (needed to benchmark LRANGE)","113765.64","0.230","0.024","0.215","0.303","0.383","3.039"
"LRANGE_100 (first 100 elements)","80064.05","0.330","0.016","0.311","0.391","0.775","7.087"
"MSET (10 keys)","110011.00","0.253","0.024","0.223","0.351","0.799","5.991"
