"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","91491.30","0.285","0.112","0.271","0.423","0.519","1.135"
"PING_MBULK","96153.85","0.269","0.080","0.255","0.351","0.439","1.607"
"SET","90009.01","0.297","0.072","0.287","0.439","0.543","4.071"
"GET","81967.21","0.318","0.088","0.303","0.447","0.503","3.615"
"INCR","88967.98","0.298","0.088","0.295","0.431","0.535","1.815"
"LPUSH","90090.09","0.291","0.080","0.287","0.439","0.535","1.103"
"RPUSH","87336.24","0.298","0.088","0.295","0.439","0.487","0.903"
"LPOP","85251.49","0.308","0.080","0.295","0.439","0.519","3.503"
"RPOP","85543.20","0.304","0.072","0.295","0.439","0.479","1.135"
"SADD","96618.36","0.270","0.072","0.255","0.383","0.463","3.375"
"HSET","81234.77","0.324","0.088","0.303","0.463","0.519","0.975"
"SPOP","88652.48","0.305","0.088","0.295","0.431","0.567","2.287"
"LPUSH (needed to benchmark LRANGE)","97370.98","0.265","0.064","0.255","0.343","0.455","1.631"
"LRANGE_100 (first 100 elements)","64350.06","0.401","0.208","0.391","0.503","0.575","4.087"
"MSET (10 keys)","93984.96","0.421","0.136","0.407","0.655","0.775","1.679"
