"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","1000000.00","0.263","0.032","0.255","0.383","0.535","1.311"
"PING_MBULK","990099.00","0.265","0.024","0.255","0.367","0.399","1.351"
"SET","724637.69","0.566","0.040","0.399","1.431","2.271","10.383"
"GET","840336.12","0.483","0.040","0.375","1.111","1.783","3.415"
"INCR","806451.62","0.542","0.040","0.431","1.263","1.815","3.679"
"LPUSH","2177.75","229.501","138.880","226.687","295.423","338.175","980.479"
"RPUSH","694444.50","0.684","0.080","0.631","1.287","1.911","6.199"
"LPOP","781249.94","0.592","0.136","0.567","0.927","1.543","2.695"
"RPOP","775193.81","0.626","0.032","0.591","0.911","1.607","2.935"
"SADD","689655.19","0.651","0.048","0.583","1.231","2.063","11.551"
"HSET","684931.50","0.690","0.064","0.631","1.247","1.919","14.887"
"SPOP","666666.62","0.732","0.048","0.631","1.303","3.111","16.111"
"LPUSH (needed to benchmark LRANGE)","2102.17","237.750","143.232","237.311","311.039","340.991","807.423"
"LRANGE_100 (first 100 elements)","206185.56","1.500","0.120","1.231","3.263","7.031","13.895"
"MSET (10 keys)","128865.98","3.864","0.080","2.983","10.279","12.847","18.671"
