"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","101626.02","0.254","0.064","0.239","0.335","0.375","1.455"
"PING_MBULK","105263.16","0.245","0.072","0.231","0.319","0.407","0.639"
"SET","86580.09","0.306","0.016","0.295","0.431","0.831","5.735"
"GET","99601.60","0.261","0.032","0.255","0.335","0.367","1.519"
"INCR","89365.51","0.290","0.024","0.295","0.399","0.447","1.583"
"LPUSH","6474.17","7.689","0.104","6.767","16.463","18.959","26.831"
"RPUSH","108577.63","0.242","0.024","0.239","0.303","0.351","3.679"
"LPOP","106609.80","0.244","0.032","0.239","0.319","0.351","4.791"
"RPOP","92850.51","0.279","0.056","0.287","0.343","0.367","2.943"
"SADD","105708.25","0.246","0.032","0.239","0.327","0.351","1.263"
"HSET","95238.10","0.272","0.080","0.271","0.343","0.367","1.143"
"SPOP","89445.44","0.291","0.032","0.295","0.351","0.423","2.111"
"LPUSH (needed to benchmark LRANGE)","6606.77","7.535","0.064","7.399","16.783","19.791","27.967"
"LRANGE_100 (first 100 elements)","69686.41","0.371","0.040","0.351","0.487","0.535","4.431"
"MSET (10 keys)","94876.66","0.305","0.024","0.263","0.519","1.095","11.623"
