"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","1010101.00","0.265","0.040","0.255","0.351","0.487","4.335"
"PING_MBULK","819672.12","0.309","0.176","0.303","0.415","0.447","3.127"
"SET","763358.81","0.570","0.040","0.455","1.343","2.023","11.335"
"GET","757575.75","0.489","0.032","0.367","1.215","2.239","7.207"
"INCR","714285.69","0.650","0.040","0.503","1.567","3.447","8.247"
"LPUSH","2104.69","237.471","138.240","233.087","319.231","368.639","879.103"
"RPUSH","719424.44","0.615","0.072","0.543","1.311","1.847","3.111"
"LPOP","757575.75","0.548","0.064","0.511","0.871","1.535","9.823"
"RPOP","763358.81","0.563","0.120","0.519","0.935","1.631","2.991"
"SADD","671140.94","0.636","0.048","0.527","1.399","2.263","6.039"
"HSET","719424.44","0.612","0.120","0.583","0.855","2.271","4.279"
"SPOP","704225.31","0.636","0.048","0.607","1.039","2.095","3.903"
"LPUSH (needed to benchmark LRANGE)","2061.60","242.399","139.648","238.207","322.815","366.079","885.247"
"LRANGE_100 (first 100 elements)","205338.81","1.382","0.096","1.199","2.303","5.031","13.535"
"MSET (10 keys)","129032.27","3.859","0.080","3.063","10.055","12.415","19.679"
