"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","101936.80","0.253","0.072","0.239","0.343","0.383","0.767"
"PING_MBULK","108108.11","0.238","0.064","0.231","0.327","0.375","0.735"
"SET","100603.62","0.259","0.040","0.247","0.343","0.375","1.839"
"GET","101936.80","0.255","0.024","0.239","0.343","0.359","1.951"
"INCR","96246.39","0.270","0.032","0.279","0.327","0.367","1.631"
"LPUSH","6924.25","7.191","0.080","6.583","15.135","17.519","26.415"
"RPUSH","96899.23","0.269","0.040","0.263","0.335","0.367","3.471"
"LPOP","96711.80","0.268","0.064","0.263","0.335","0.383","1.271"
"RPOP","90171.33","0.288","0.072","0.295","0.343","0.391","0.887"
"SADD","96246.39","0.270","0.072","0.271","0.335","0.375","1.103"
"HSET","85470.09","0.304","0.056","0.311","0.351","0.415","1.127"
"SPOP","88967.98","0.293","0.016","0.303","0.351","0.415","1.487"
"LPUSH (needed to benchmark LRANGE)","6636.14","7.500","0.128","7.199","17.295","20.751","32.383"
"LRANGE_100 (first 100 elements)","66269.05","0.392","0.032","0.351","0.503","0.663","4.655"
"MSET (10 keys)","98522.17","0.286","0.024","0.255","0.383","1.007","5.351"
