"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","990099.00","0.273","0.032","0.255","0.343","0.647","4.079"
"PING_MBULK","1000000.00","0.282","0.032","0.255","0.383","0.863","5.919"
"SET","775193.81","0.629","0.136","0.615","0.855","1.367","2.695"
"GET","793650.75","0.526","0.104","0.495","0.767","1.439","3.975"
"INCR","719424.44","0.609","0.064","0.583","0.983","1.415","11.471"
"LPUSH","1715.24","291.391","177.152","293.375","390.143","429.055","851.455"
"RPUSH","4049.57","123.428","97.408","122.367","148.991","162.815","174.591"
"LPOP","4067.52","122.894","93.952","121.919","146.687","154.879","159.231"
"RPOP","6725.85","74.322","46.304","75.327","98.175","107.967","121.471"
"SADD","2026.59","246.205","0.456","268.287","473.855","494.847","506.879"
"HSET","819672.12","0.579","0.072","0.543","1.023","1.567","6.767"
"SPOP","2357.88","212.031","0.032","196.479","487.423","502.271","507.647"
"LPUSH (needed to benchmark LRANGE)","1740.19","287.189","145.152","289.535","376.575","394.495","880.639"
"LRANGE_100 (first 100 elements)","206185.56","1.385","0.160","1.167","2.535","5.055","10.543"
"MSET (10 keys)","220264.31","2.247","0.616","2.071","3.231","4.439","5.863"
