"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","106951.88","0.241","0.056","0.231","0.319","0.343","0.623"
"PING_MBULK","93023.25","0.278","0.072","0.287","0.335","0.367","0.559"
"SET","90661.83","0.287","0.032","0.295","0.351","0.407","1.463"
"GET","92936.80","0.280","0.024","0.271","0.367","0.431","2.255"
"INCR","90909.09","0.286","0.040","0.287","0.351","0.407","1.119"
"LPUSH","5487.87","9.089","0.112","8.815","18.991","21.663","27.167"
"RPUSH","6438.32","7.760","0.552","7.831","10.287","13.407","16.639"
"LPOP","6667.11","7.495","0.488","7.367","10.399","14.615","18.463"
"RPOP","19470.40","2.545","0.064","2.559","4.799","7.023","11.215"
"SADD","2067.53","24.167","0.120","26.175","46.655","51.807","67.199"
"HSET","111234.70","0.235","0.024","0.231","0.311","0.351","3.959"
"SPOP","2340.66","21.267","0.040","19.951","49.503","55.775","72.319"
"LPUSH (needed to benchmark LRANGE)","5467.77","9.126","0.048","9.247","19.151","22.639","32.751"
"LRANGE_100 (first 100 elements)","71942.45","0.360","0.024","0.343","0.463","0.559","3.351"
"MSET (10 keys)","90334.23","0.297","0.032","0.303","0.367","0.455","2.543"
