"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","869565.19","0.300","0.096","0.303","0.351","0.391","0.911"
"PING_MBULK","826446.31","0.316","0.088","0.319","0.367","0.447","1.927"
"SET","763358.81","0.585","0.040","0.551","0.935","1.559","4.759"
"GET","1000000.00","0.290","0.024","0.255","0.463","1.007","7.343"
"INCR","735294.06","0.649","0.056","0.615","0.959","1.567","4.631"
"LPUSH","1800.93","277.528","157.952","274.687","372.991","392.191","762.879"
"RPUSH","4122.69","121.239","82.368","122.367","142.207","156.927","195.199"
"LPOP","4132.23","120.971","94.912","121.215","141.951","164.607","174.207"
"RPOP","6781.50","73.710","46.944","73.791","94.719","103.551","118.143"
"SADD","2016.49","247.427","0.408","271.103","472.063","500.991","648.703"
"HSET","806451.62","0.561","0.040","0.535","0.783","1.767","5.183"
"SPOP","2416.39","206.874","0.032","185.727","478.975","489.471","506.367"
"LPUSH (needed to benchmark LRANGE)","1742.34","286.869","159.104","290.047","385.279","417.023","773.119"
"LRANGE_100 (first 100 elements)","200400.80","1.459","0.096","1.223","3.015","5.511","17.679"
"MSET (10 keys)","226244.34","2.185","0.120","2.039","3.231","4.143","6.279"
