"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","100502.52","0.257","0.040","0.239","0.343","0.375","1.823"
"PING_MBULK","107411.38","0.240","0.072","0.231","0.319","0.351","0.511"
"SET","93370.68","0.279","0.048","0.279","0.351","0.407","1.671"
"GET","90009.01","0.288","0.048","0.287","0.351","0.431","3.175"
"INCR","91157.70","0.286","0.072","0.295","0.351","0.423","2.255"
"LPUSH","5559.57","8.976","0.112","8.551","18.639","21.215","27.263"
"RPUSH","6441.22","7.756","0.584","7.663","11.031","13.255","15.767"
"LPOP","6772.77","7.378","0.472","7.175","10.151","13.159","16.735"
"RPOP","18975.33","2.606","0.080","2.743","4.647","6.159","11.855"
"SADD","2083.20","23.984","0.120","26.079","45.599","48.351","69.247"
"HSET","104384.13","0.249","0.024","0.239","0.319","0.343","1.279"
"SPOP","2439.32","20.423","0.056","17.919","47.711","50.879","60.383"
"LPUSH (needed to benchmark LRANGE)","5633.17","8.859","0.096","8.727","18.703","21.295","31.807"
"LRANGE_100 (first 100 elements)","76161.46","0.337","0.072","0.319","0.455","0.471","2.415"
"MSET (10 keys)","102249.49","0.264","0.024","0.255","0.335","0.383","3.735"
