"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","111482.72","0.235","0.064","0.231","0.287","0.367","0.887"
"PING_MBULK","108813.92","0.237","0.072","0.231","0.311","0.343","0.463"
"SET","107296.14","0.266","0.080","0.239","0.415","0.503","0.911"
"GET","103519.66","0.253","0.064","0.239","0.327","0.375","0.983"
"INCR","106609.80","0.247","0.064","0.231","0.319","0.359","1.783"
"LPUSH","110497.24","0.237","0.056","0.231","0.311","0.335","0.503"
"RPUSH","114547.53","0.226","0.064","0.231","0.247","0.271","0.967"
"LPOP","113122.17","0.235","0.064","0.231","0.287","0.343","0.495"
"RPOP","111856.82","0.231","0.056","0.231","0.295","0.351","0.599"
"SADD","108577.63","0.243","0.072","0.231","0.319","0.439","0.943"
"HSET","109170.30","0.237","0.064","0.231","0.319","0.343","0.631"
"SPOP","110253.59","0.239","0.072","0.231","0.327","0.375","0.607"
"LPUSH (needed to benchmark LRANGE)","107066.38","0.242","0.056","0.231","0.327","0.351","0.767"
"LRANGE_100 (first 100 elements)","73800.73","0.347","0.120","0.327","0.463","0.479","0.607"
"MSET (10 keys)","106723.59","0.257","0.096","0.231","0.359","0.567","1.175"
