"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","100908.17","0.256","0.024","0.247","0.335","0.375","0.887"
"PING_MBULK","101112.23","0.255","0.064","0.247","0.327","0.375","0.727"
"SET","95693.78","0.272","0.024","0.263","0.351","0.391","2.447"
"GET","84745.77","0.306","0.056","0.303","0.351","0.391","3.951"
"INCR","95602.30","0.272","0.024","0.279","0.335","0.375","1.135"
"LPUSH","5481.55","9.099","0.096","8.719","19.071","21.663","30.047"
"RPUSH","6471.24","7.720","0.616","7.639","10.927","13.487","16.559"
"LPOP","6636.58","7.529","0.504","7.487","9.951","12.455","16.751"
"RPOP","18726.59","2.646","0.096","2.703","4.679","5.415","12.799"
"SADD","2022.37","24.706","0.160","26.991","47.391","49.855","60.767"
"HSET","108108.11","0.241","0.024","0.231","0.319","0.351","2.463"
"SPOP","2344.39","21.227","0.040","19.839","48.927","52.223","63.999"
"LPUSH (needed to benchmark LRANGE)","5471.96","9.115","0.088","9.343","19.311","22.767","31.247"
"LRANGE_100 (first 100 elements)","68870.52","0.374","0.072","0.335","0.479","0.519","3.591"
"MSET (10 keys)","100908.17","0.268","0.024","0.255","0.343","0.407","3.279"
