"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","87719.30","0.293","0.080","0.295","0.391","0.447","1.695"
"PING_MBULK","96618.36","0.267","0.048","0.255","0.367","0.423","0.887"
"SET","91911.76","0.283","0.032","0.271","0.391","0.479","2.263"
"GET","88967.98","0.290","0.080","0.287","0.375","0.431","1.079"
"INCR","90497.73","0.288","0.040","0.287","0.367","0.415","1.663"
"LPUSH","5271.76","9.463","0.160","9.471","18.895","21.647","25.951"
"RPUSH","6427.97","7.772","0.536","7.631","10.719","14.487","16.735"
"LPOP","6451.61","7.745","0.440","7.535","11.095","14.535","18.399"
"RPOP","18779.34","2.635","0.072","2.631","4.887","5.895","10.647"
"SADD","1987.36","25.140","0.144","27.439","47.775","51.167","69.887"
"HSET","104821.80","0.248","0.048","0.239","0.327","0.359","1.743"
"SPOP","2325.20","21.413","0.032","20.255","49.343","53.631","70.399"
"LPUSH (needed to benchmark LRANGE)","5522.42","9.036","0.032","8.895","19.023","22.143","37.855"
"LRANGE_100 (first 100 elements)","69348.12","0.370","0.064","0.367","0.479","0.495","2.215"
"MSET (10 keys)","98911.96","0.275","0.024","0.263","0.359","0.415","4.063"
