"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","862069.00","0.304","0.088","0.303","0.391","0.487","2.215"
"PING_MBULK","869565.19","0.312","0.032","0.295","0.399","0.903","4.111"
"SET","740740.69","0.635","0.112","0.623","0.855","1.351","2.567"
"GET","840336.12","0.347","0.032","0.327","0.559","1.271","9.807"
"INCR","746268.62","0.618","0.088","0.575","0.927","1.455","2.647"
"LPUSH","1729.15","289.054","167.296","282.367","380.159","431.359","817.663"
"RPUSH","3997.60","125.030","98.368","124.543","149.887","163.327","176.127"
"LPOP","4091.82","122.164","95.168","122.687","143.231","147.071","168.191"
"RPOP","6565.99","76.124","46.688","75.775","94.079","101.951","504.831"
"SADD","2031.86","245.531","0.400","267.775","477.183","496.639","512.767"
"HSET","763358.81","0.629","0.144","0.591","0.935","1.655","3.431"
"SPOP","2362.00","211.620","0.056","201.471","484.863","504.063","509.183"
"LPUSH (needed to benchmark LRANGE)","1729.77","288.943","163.584","289.535","382.975","418.303","803.839"
"LRANGE_100 (first 100 elements)","195312.48","1.356","0.096","1.215","2.111","3.407","12.807"
"MSET (10 keys)","221238.94","2.233","0.536","2.095","3.063","3.583","5.247"
