"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","1000000.00","0.294","0.088","0.247","0.511","0.655","0.855"
"PING_MBULK","833333.38","0.351","0.080","0.303","0.639","0.783","1.231"
"SET","740740.69","0.561","0.232","0.535","0.815","1.007","1.535"
"GET","877193.00","0.430","0.160","0.399","0.703","0.839","1.287"
"INCR","847457.62","0.469","0.176","0.455","0.703","0.871","1.463"
"LPUSH","806451.62","0.370","0.176","0.359","0.519","0.599","0.823"
"RPUSH","826446.31","0.324","0.120","0.311","0.439","0.471","0.655"
"LPOP","775193.81","0.479","0.208","0.463","0.687","0.823","1.127"
"RPOP","793650.75","0.447","0.200","0.423","0.663","0.783","1.135"
"SADD","729927.06","0.540","0.192","0.487","0.959","1.207","1.623"
"HSET","909090.94","0.473","0.176","0.463","0.679","0.791","1.031"
"SPOP","549450.56","0.770","0.072","0.743","1.631","1.967","2.511"
"LPUSH (needed to benchmark LRANGE)","826446.31","0.472","0.088","0.447","0.791","0.887","1.199"
"LRANGE_100 (first 100 elements)","215517.25","1.257","0.432","1.151","2.103","2.911","3.783"
"MSET (10 keys)","326797.41","1.410","0.616","1.351","2.375","2.719","3.263"
