"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","109649.12","0.236","0.072","0.231","0.303","0.335","0.471"
"PING_MBULK","106044.54","0.247","0.072","0.239","0.327","0.391","0.807"
"SET","106044.54","0.248","0.072","0.239","0.327","0.439","0.903"
"GET","109289.62","0.245","0.064","0.239","0.327","0.375","0.703"
"INCR","111234.70","0.234","0.072","0.231","0.295","0.343","1.543"
"LPUSH","111607.14","0.233","0.080","0.231","0.271","0.311","0.751"
"RPUSH","104821.80","0.249","0.064","0.239","0.319","0.383","1.015"
"LPOP","108695.65","0.242","0.064","0.239","0.319","0.375","0.607"
"RPOP","102145.05","0.257","0.072","0.247","0.319","0.399","1.207"
"SADD","109051.26","0.248","0.064","0.239","0.327","0.439","0.807"
"HSET","102774.92","0.260","0.064","0.247","0.351","0.447","1.015"
"SPOP","112107.62","0.246","0.072","0.231","0.415","0.519","0.839"
"LPUSH (needed to benchmark LRANGE)","108932.46","0.242","0.064","0.239","0.319","0.359","1.423"
"LRANGE_100 (first 100 elements)","72674.41","0.355","0.160","0.335","0.471","0.495","0.927"
"MSET (10 keys)","100704.94","0.341","0.064","0.279","0.615","0.735","1.111"
