"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","1098901.12","0.239","0.032","0.239","0.287","0.391","1.247"
"PING_MBULK","1052631.62","0.248","0.104","0.247","0.327","0.351","0.495"
"SET","775193.81","0.585","0.040","0.431","1.503","2.615","9.463"
"GET","729927.06","0.556","0.040","0.359","1.415","4.055","10.087"
"INCR","806451.62","0.550","0.032","0.415","1.295","2.231","8.799"
"LPUSH","2566.08","194.770","105.600","189.311","257.791","289.279","823.295"
"RPUSH","769230.81","0.613","0.056","0.591","0.935","1.591","4.831"
"LPOP","806451.62","0.501","0.104","0.455","0.807","1.383","4.663"
"RPOP","787401.56","0.609","0.056","0.575","1.015","1.559","6.215"
"SADD","729927.06","0.535","0.088","0.455","0.983","1.471","3.343"
"HSET","724637.69","0.512","0.080","0.431","1.071","1.551","9.063"
"SPOP","787401.56","0.593","0.048","0.583","0.831","2.087","4.023"
"LPUSH (needed to benchmark LRANGE)","2536.20","197.066","112.960","195.583","257.791","337.663","769.023"
"LRANGE_100 (first 100 elements)","170357.75","1.607","0.088","1.511","2.399","6.071","11.407"
"MSET (10 keys)","128205.13","3.891","0.072","0.927","15.807","22.687","37.375"
