"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","108813.92","0.237","0.064","0.223","0.319","0.351","2.167"
"PING_MBULK","108577.63","0.237","0.064","0.223","0.319","0.343","0.495"
"SET","103199.18","0.252","0.024","0.239","0.327","0.359","1.311"
"GET","102774.92","0.252","0.040","0.239","0.327","0.351","1.335"
"INCR","100603.62","0.258","0.032","0.255","0.327","0.351","1.583"
"LPUSH","8666.26","5.744","0.112","5.719","12.719","15.431","21.535"
"RPUSH","106157.12","0.245","0.024","0.231","0.335","0.359","1.415"
"LPOP","105708.25","0.246","0.040","0.231","0.319","0.335","1.167"
"RPOP","108225.10","0.242","0.024","0.231","0.319","0.351","3.519"
"SADD","93109.87","0.279","0.064","0.287","0.343","0.375","0.959"
"HSET","97751.71","0.267","0.024","0.271","0.335","0.399","4.639"
"SPOP","99403.58","0.262","0.016","0.255","0.327","0.383","1.063"
"LPUSH (needed to benchmark LRANGE)","9196.25","5.409","0.128","5.343","11.575","12.831","18.239"
"LRANGE_100 (first 100 elements)","71123.76","0.364","0.032","0.359","0.455","0.535","4.263"
"MSET (10 keys)","88809.95","0.299","0.032","0.303","0.367","0.431","2.207"
