"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","990099.00","0.272","0.072","0.247","0.383","0.527","0.847"
"PING_MBULK","1000000.00","0.335","0.080","0.287","0.623","0.759","1.135"
"SET","934579.44","0.452","0.200","0.439","0.623","0.727","0.975"
"GET","925925.88","0.356","0.152","0.303","0.671","0.815","1.183"
"INCR","1063829.88","0.409","0.184","0.391","0.575","0.703","0.951"
"LPUSH","990099.00","0.358","0.176","0.279","0.727","0.847","1.239"
"RPUSH","970873.81","0.386","0.072","0.287","0.727","0.807","1.055"
"LPOP","862069.00","0.529","0.168","0.527","0.831","0.911","1.119"
"RPOP","1098901.12","0.387","0.152","0.383","0.535","0.599","0.775"
"SADD","961538.44","0.411","0.088","0.375","0.727","0.935","1.279"
"HSET","1010101.00","0.416","0.192","0.407","0.575","0.623","0.783"
"SPOP","537634.38","0.792","0.080","0.727","1.671","2.471","3.063"
"LPUSH (needed to benchmark LRANGE)","925925.88","0.323","0.184","0.311","0.455","0.575","0.855"
"LRANGE_100 (first 100 elements)","225733.64","1.331","0.440","1.079","2.479","3.103","3.535"
"MSET (10 keys)","335570.47","1.373","0.448","1.327","2.255","2.607","2.887"
