"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","1162790.62","0.228","0.024","0.223","0.279","0.527","2.255"
"PING_MBULK","1136363.62","0.231","0.064","0.231","0.263","0.295","0.431"
"SET","961538.44","0.462","0.040","0.383","1.031","1.655","7.599"
"GET","806451.62","0.495","0.032","0.343","1.287","2.879","4.239"
"INCR","757575.75","0.563","0.032","0.359","1.607","3.959","9.423"
"LPUSH","2635.25","189.642","112.192","186.623","248.063","258.431","848.895"
"RPUSH","826446.31","0.480","0.032","0.415","0.943","1.583","11.007"
"LPOP","833333.38","0.498","0.088","0.463","0.887","1.367","6.127"
"RPOP","900900.88","0.457","0.120","0.455","0.631","0.703","1.071"
"SADD","740740.69","0.575","0.040","0.511","1.199","1.743","3.071"
"HSET","775193.81","0.611","0.136","0.583","0.967","1.519","3.927"
"SPOP","833333.38","0.577","0.032","0.535","0.807","2.743","6.391"
"LPUSH (needed to benchmark LRANGE)","2596.86","192.447","113.216","189.567","252.671","348.927","872.959"
"LRANGE_100 (first 100 elements)","221729.48","1.308","0.096","1.127","2.343","4.223","11.415"
"MSET (10 keys)","130718.95","3.814","0.080","3.703","7.439","9.087","13.031"
