"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","104058.27","0.248","0.072","0.263","0.303","0.351","0.511"
"PING_MBULK","95877.28","0.269","0.064","0.271","0.359","0.391","0.551"
"SET","103199.18","0.252","0.040","0.247","0.319","0.359","1.895"
"GET","99206.34","0.261","0.072","0.271","0.319","0.343","1.175"
"INCR","100806.45","0.258","0.024","0.255","0.359","0.399","1.871"
"LPUSH","8845.64","5.620","0.056","5.575","12.407","14.895","20.959"
"RPUSH","97560.98","0.267","0.056","0.279","0.327","0.367","2.439"
"LPOP","103092.78","0.251","0.072","0.255","0.311","0.335","0.967"
"RPOP","94517.96","0.274","0.072","0.279","0.319","0.343","1.063"
"SADD","98231.83","0.264","0.024","0.271","0.319","0.351","2.263"
"HSET","96153.85","0.271","0.024","0.279","0.335","0.367","4.679"
"SPOP","99502.48","0.261","0.032","0.271","0.319","0.359","1.743"
"LPUSH (needed to benchmark LRANGE)","9197.94","5.403","0.112","5.335","11.447","12.911","18.047"
"LRANGE_100 (first 100 elements)","78492.93","0.328","0.048","0.311","0.439","0.455","1.679"
"MSET (10 keys)","107758.62","0.265","0.016","0.239","0.359","1.015","7.127"
