"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","724637.69","0.591","0.032","0.383","1.567","2.799","21.791"
"PING_MBULK","740740.69","0.639","0.040","0.455","1.535","2.463","18.287"
"SET","440528.62","1.120","0.088","0.967","2.431","3.551","7.799"
"GET","485436.91","1.021","0.088","0.895","2.095","3.975","8.615"
"INCR","442477.88","1.119","0.128","0.967","2.207","3.463","12.031"
"LPUSH","1657.03","301.602","185.344","299.775","405.247","431.871","719.871"
"RPUSH","4183.75","119.470","81.792","118.783","141.055","143.103","144.767"
"LPOP","4203.62","118.911","91.008","119.295","140.287","142.207","145.023"
"RPOP","6761.78","73.925","46.944","72.447","94.015","102.079","465.151"
"SADD","1965.83","253.822","0.392","276.735","483.583","502.783","524.799"
"HSET","502512.56","0.982","0.056","0.871","1.951","3.287","9.183"
"SPOP","2344.78","213.227","0.048","205.695","489.215","514.815","535.551"
"LPUSH (needed to benchmark LRANGE)","1637.04","305.341","168.576","299.007","404.735","447.231","885.247"
"LRANGE_100 (first 100 elements)","149925.03","2.665","0.144","1.807","7.559","13.351","23.919"
"MSET (10 keys)","195312.48","2.543","0.528","2.391","3.679","4.135","7.151"
