"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","104493.20","0.253","0.024","0.239","0.335","0.527","2.287"
"PING_MBULK","104166.67","0.252","0.024","0.239","0.343","0.455","1.527"
"SET","93896.71","0.282","0.024","0.279","0.359","0.503","5.255"
"GET","93984.96","0.282","0.024","0.279","0.351","0.503","2.711"
"INCR","97656.24","0.274","0.024","0.255","0.351","0.551","5.751"
"LPUSH","5218.39","9.561","0.048","9.639","20.271","23.663","33.215"
"RPUSH","6793.48","7.353","0.672","7.351","9.447","9.991","13.071"
"LPOP","6895.60","7.246","0.432","7.071","9.495","10.351","13.447"
"RPOP","20132.88","2.460","0.024","2.455","4.719","5.271","9.271"
"SADD","1957.33","25.523","0.032","27.743","48.415","50.751","68.863"
"HSET","97087.38","0.271","0.024","0.279","0.335","0.383","1.775"
"SPOP","2321.05","21.443","0.032","20.223","48.799","50.687","59.583"
"LPUSH (needed to benchmark LRANGE)","5308.42","9.400","0.064","10.007","19.695","23.455","30.911"
"LRANGE_100 (first 100 elements)","64474.53","0.417","0.032","0.391","0.519","0.991","5.695"
"MSET (10 keys)","94339.62","0.306","0.024","0.287","0.423","0.855","12.631"
