"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","89285.71","0.301","0.088","0.295","0.415","0.551","1.039"
"PING_MBULK","90661.83","0.285","0.064","0.287","0.335","0.407","0.647"
"SET","88261.25","0.297","0.080","0.295","0.383","0.455","2.135"
"GET","100200.40","0.260","0.080","0.247","0.319","0.375","0.967"
"INCR","89525.52","0.292","0.080","0.287","0.391","0.431","1.783"
"LPUSH","93023.25","0.285","0.072","0.287","0.383","0.503","1.007"
"RPUSH","93808.63","0.295","0.088","0.287","0.495","0.599","1.183"
"LPOP","88573.96","0.292","0.064","0.287","0.391","0.423","0.519"
"RPOP","91491.30","0.282","0.080","0.287","0.335","0.407","0.503"
"SADD","87950.75","0.294","0.104","0.295","0.351","0.431","0.615"
"HSET","89206.06","0.293","0.072","0.295","0.335","0.439","1.143"
"SPOP","89525.52","0.295","0.072","0.295","0.351","0.455","2.567"
"LPUSH (needed to benchmark LRANGE)","92250.92","0.292","0.064","0.287","0.415","0.583","1.063"
"LRANGE_100 (first 100 elements)","71530.76","0.365","0.168","0.351","0.471","0.543","0.943"
"MSET (10 keys)","89605.73","0.313","0.064","0.303","0.439","0.663","1.415"
