"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","854700.88","0.306","0.064","0.311","0.375","0.415","2.263"
"PING_MBULK","833333.38","0.315","0.088","0.319","0.367","0.423","1.503"
"SET","709219.88","0.643","0.080","0.623","0.911","1.591","2.735"
"GET","735294.06","0.607","0.056","0.527","0.887","3.655","8.855"
"INCR","671140.94","0.704","0.088","0.663","1.127","1.639","4.783"
"LPUSH","1715.77","291.311","170.752","292.095","382.719","412.415","872.447"
"RPUSH","4001.12","124.920","81.792","123.839","147.583","153.727","174.463"
"LPOP","4019.29","124.371","93.952","125.247","146.943","159.871","172.927"
"RPOP","6378.77","78.366","48.544","76.735","101.055","117.375","499.199"
"SADD","2000.80","249.385","0.384","277.759","479.487","495.615","508.415"
"HSET","740740.69","0.641","0.072","0.583","1.175","1.975","4.687"
"SPOP","2351.50","212.553","0.056","189.311","490.239","515.583","521.983"
"LPUSH (needed to benchmark LRANGE)","1758.55","284.218","157.440","284.671","377.855","406.015","792.575"
"LRANGE_100 (first 100 elements)","216919.73","1.348","0.112","1.151","2.559","4.455","10.495"
"MSET (10 keys)","193423.59","2.563","0.272","2.511","3.551","6.303","11.415"
