"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","99502.48","0.260","0.024","0.255","0.335","0.375","1.807"
"PING_MBULK","105485.23","0.245","0.072","0.239","0.327","0.367","0.671"
"SET","103519.66","0.251","0.024","0.239","0.335","0.367","1.255"
"GET","96061.48","0.271","0.064","0.255","0.351","0.431","1.399"
"INCR","92506.94","0.281","0.040","0.287","0.359","0.399","1.183"
"LPUSH","5450.19","9.151","0.120","8.863","19.407","22.143","29.631"
"RPUSH","6331.52","7.890","0.424","7.655","11.087","15.039","19.871"
"LPOP","6383.66","7.827","0.472","7.711","10.975","13.775","17.007"
"RPOP","18860.81","2.631","0.072","2.519","4.927","5.943","12.871"
"SADD","1994.61","25.050","0.096","27.151","47.327","49.791","61.887"
"HSET","106496.27","0.244","0.056","0.231","0.319","0.343","3.103"
"SPOP","2343.51","21.248","0.024","18.687","49.151","51.775","66.751"
"LPUSH (needed to benchmark LRANGE)","5501.76","9.070","0.088","8.991","19.455","22.543","28.879"
"LRANGE_100 (first 100 elements)","67888.66","0.380","0.064","0.383","0.447","0.575","2.023"
"MSET (10 keys)","92421.44","0.296","0.024","0.295","0.367","0.487","4.831"
